cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,526.8955078125,812.3073189999559,855.7687229999829,730.9120400000211,889.7818259999895,808.4466516000248
perpos,15,862.3243584999045,1045.73392899988,16,1074.92578125,183.40957049997542,203.26485800001137,167.32593500000803,964.6231279998574,210.48651436664537
paged,1,165.92176200003905,364.98275799999647,16,1092.10302734375,199.0609959999574,224.10475099991345,167.66088199983642,227.0219960000759,199.85579469996537
