cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,526.8955078125,973.1161295057973,1020.0099219946424,825.7211849995656,1025.363638997078,958.6012842347069
perpos,15,999.3071615026565,1219.930759005365,16,1074.9111328125,220.62359750270844,253.41052499425132,191.62310600222554,1241.9465469865827,256.50036989876145
paged,1,129.2489845000091,362.9345520021161,16,1084.8369140625,233.685567502107,250.57926001318265,210.8328929898562,254.52935700013768,232.7715840001474
