cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,526.8955078125,1028.9008440013276,1310.7004780031275,912.6690589764621,2511.5296540025156,1106.523242701466
perpos,15,1014.6445855061756,1226.5541999950074,16,1074.9111328125,211.90961448883172,239.75236900150776,176.2650340097025,1438.6764030205086,251.9712621695362
paged,1,124.72421801066957,364.2623980122153,16,1084.8369140625,239.5381800015457,264.06017498811707,209.58296698518097,276.44289602176286,241.71140543088163
