cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,527.9833984375,519.6087715000886,725.7939470000565,496.3495279998824,887.2444109997559,553.7874599666112
perpos,15,706.4526209999258,824.7618989998955,16,1078.912109375,118.30927799996971,129.71230600032868,115.38086599966846,764.1602700000476,130.67578088327232
paged,1,65.8365269996466,208.8320099996963,16,1099.0703125,142.99548300004972,170.82450399993832,138.77657600005477,191.8937279997408,148.08127303330517
