cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,120,908.69091796875,3034.9899240000013,5994.586143999641,2284.9477750000915,6657.805847999953,3850.956110066727
perpos,127,5927.039738000076,7227.299354000024,128,1080.44921875,1300.2596159999484,1396.219249999831,1129.5017769998594,5922.41491499999,1591.676015466631
paged,1,274.3006040000182,1477.194079000128,128,1097.62646484375,1202.89347500011,1217.5115529998948,1157.66652100001,1239.8905800000648,1197.9741913999835
