gpu,commit,input_id,max_new_tokens,wall_p50_ms,wall_p99_ms,n_runs,vram_peak_mb
"NVIDIA GeForce RTX 3050 4GB Laptop GPU (4 GB, driver 591.86)",ce0f111,smolvlm_short,64,117.364,139.421,10,2181.168
"NVIDIA GeForce RTX 3050 4GB Laptop GPU (4 GB, driver 591.86)",ce0f111,smolvlm_medium,64,2864.870,3171.738,10,2181.571
"NVIDIA GeForce RTX 3050 4GB Laptop GPU (4 GB, driver 591.86)",ce0f111,smolvlm_long,64,2984.693,3298.256,10,2182.693
