cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,272,5052.28369140625,2293.0937200003427,20970.260070999757,1801.523139999972,23887.657164000302,8705.635739888901
perpos,511,24280.249894000008,31621.149135999985,512,1099.56689453125,7340.899241999978,7423.893270000008,5632.479816999876,26683.068297999853,9129.011931333329
paged,1,488.03268300025593,6226.135799000076,512,1125.56591796875,5738.10311599982,5992.463149999821,5666.3958909998655,5995.135182000013,5801.401614999931
