cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,526.8955078125,636.1463670000376,699.4461590002174,583.7732510008209,945.7093460005126,651.5632159667197
perpos,15,95.7125234999694,295.3391390001343,16,501.09423828125,199.62661550016492,214.83809700293932,177.90580300061265,221.27782700044918,199.8864469667145
paged,1,45.35322149786225,243.79262299771653,16,509.21923828125,198.43940149985428,213.2184399997641,182.0723029995861,215.09544299988193,199.4525252999665
