cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,526.8955078125,1064.1281700000036,1208.5013350006193,712.3655099985626,1493.4289640004863,1023.9978828000252
perpos,15,816.0390405018916,1083.6781270008942,16,1074.9111328125,267.6390864990026,317.28223499885644,144.91884100061725,906.5038150001783,250.48052673349352
paged,1,108.8627165008802,292.7227750005841,16,1094.0693359375,183.86005849970388,199.43579500068154,170.0367739995272,212.7750850013399,184.93251401687303
