cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,120,908.69091796875,2170.2477160001763,5338.834750999922,1768.9513939999415,5401.390280000214,3077.1896902666717
perpos,127,5172.721332999572,6359.324278999793,128,1080.44921875,1186.602946000221,1272.310372999982,1121.4714819998335,6131.639938999797,1521.3181505333523
paged,1,196.67395099986607,1416.7728249999527,128,1097.62646484375,1220.0988740000867,1301.2493169999289,1149.472779000007,1315.5831069998385,1230.1303934000923
