cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,8,526.8955078125,795.7503570000881,918.0530040000576,729.5290550000573,972.6280509999015,817.6100512000099
perpos,15,851.3081399997873,1040.2683589998105,16,1074.92578125,188.96021900002324,202.51162699992165,163.44194099997367,999.4832090001182,211.44151659999957
paged,1,179.39653149994683,382.12791799992374,16,1092.10302734375,202.7313864999769,252.07535699996697,179.43790899994383,269.5753519999471,212.72245239999847
