cell,graphs,capture_ms,cold_ms,frames,vram_mb,p50,p95,min,max,mean
eager,0,0.0,0.0,272,5052.28369140625,2305.089602999942,22190.77065400006,1905.1962019998427,24773.365070999716,9016.728841777724
perpos,511,23268.02681900017,30626.573756000198,512,1099.56689453125,7358.546937000028,7502.343526999994,5704.537562000041,26930.138401000022,9271.837463777805
paged,1,644.4803820004381,6402.399753000282,512,1125.56591796875,5757.9193709998435,5809.061469000426,5524.186950000058,5812.9645529998015,5722.400173888925
